"country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"New Zealand",2020-05-02,102,1487,2,20,0,1266,3,201,30.8,0,4.2,42,16
"Nicaragua",2020-05-02,102,14,0,3,0,7,0,4,0.2,0,0.1,0,0
"Niger",2020-05-02,102,736,8,35,2,507,29,194,3,0,0.8,30,28
"Nigeria",2020-05-02,102,2388,218,85,17,351,0,1952,1.2,0.1,0.9,35,22
"North Macedonia",2020-05-02,102,1506,12,82,1,852,45,572,72.3,0.6,27.5,42,32
"Norway",2020-05-02,102,7809,26,211,1,32,0,7566,144.1,0.5,139.6,58,41
"Oman",2020-05-02,102,2483,36,12,1,750,255,1721,48.6,0.7,33.7,38,9
"Pakistan",2020-05-02,102,19103,989,440,23,4817,102,13846,8.6,0.4,6.3,48,37
"Panama",2020-05-02,102,7090,370,197,5,641,19,6252,164.3,8.6,144.9,45,36
"Papua New Guinea",2020-05-02,102,8,0,0,0,0,0,8,0.1,0,0.1,0,0
